index,magnitude,phase_angle,is_predicted,received_at
0,24801.626953125,-44.45006515612092,False,2023-06-07 18:51:44.022579
1,24801.626953125,-44.22088157361573,False,2023-06-07 18:51:44.039617
2,24801.626953125,-44.01461669087051,False,2023-06-07 18:51:44.058706
3,24792.470703125,-43.79116363707896,False,2023-06-07 18:51:44.077961
4,24774.24609375,-43.550252619768855,True,2023-06-07 18:51:45.116029
5,24801.626953125,-43.33279647206857,False,2023-06-07 18:51:44.114553
6,24801.626953125,-43.10361630465797,False,2023-06-07 18:51:44.132589
7,24791.28125,-43.10335334237492,True,2023-06-07 18:51:45.117049
8,24801.626953125,-42.67389495302662,False,2023-06-07 18:51:44.169318
9,24801.626953125,-42.433253728188724,False,2023-06-07 18:51:44.186765
10,24801.626953125,-42.19261250335084,False,2023-06-07 18:51:44.204890
11,24801.626953125,-41.963428920845644,False,2023-06-07 18:51:44.223035
12,24801.568359375,-41.74569956557856,True,2023-06-07 18:51:45.120045
13,24810.78125,-41.50506175583526,False,2023-06-07 18:51:44.264878
14,24801.626953125,-41.29306975947099,False,2023-06-07 18:51:44.283582
15,24801.626953125,-41.063886176965795,False,2023-06-07 18:51:44.303263
16,24810.869140625,-40.81776372531897,True,2023-06-07 18:51:45.120131
17,24801.626953125,-40.622707183001744,False,2023-06-07 18:51:44.340862
18,24801.626953125,-40.40498465792383,False,2023-06-07 18:51:44.358553
19,24800.5234375,-40.41070494135372,True,2023-06-07 18:51:45.120571
20,24801.626953125,-39.96380566395979,False,2023-06-07 18:51:44.395794
21,24801.626953125,-39.734622081454596,False,2023-06-07 18:51:44.415749
22,24801.626953125,-39.511169027663044,False,2023-06-07 18:51:44.435877
23,24801.626953125,-39.28198544515785,False,2023-06-07 18:51:44.454424
24,24801.626953125,-39.06426292007994,False,2023-06-07 18:51:44.472272
25,24801.5703125,-38.857998037334724,True,2023-06-07 18:51:45.120631
26,24801.626953125,-39.06426292007994,False,2023-06-07 18:51:44.515364
27,24801.626953125,-38.83507933757475,False,2023-06-07 18:51:44.534058
28,24801.626953125,-38.611626283783195,False,2023-06-07 18:51:44.552950
29,24801.59765625,-38.393900343610696,True,2023-06-07 18:51:45.120671
30,24801.626953125,-38.18190834724643,False,2023-06-07 18:51:44.592693
31,24792.470703125,-37.96418240707393,False,2023-06-07 18:51:44.611465
32,24792.470703125,-37.740729353282376,False,2023-06-07 18:51:44.635193
33,24801.65625,-37.51179507268189,True,2023-06-07 18:51:45.121031
34,24792.470703125,-37.31101141674561,False,2023-06-07 18:51:44.675312
