index,sent_at
0,2023-06-07 18:46:59.995120
1,2023-06-07 18:47:00.014646
2,2023-06-07 18:47:00.033445
3,2023-06-07 18:47:00.052357
4,2023-06-07 18:47:00.071004
5,2023-06-07 18:47:00.089731
6,2023-06-07 18:47:00.108280
7,2023-06-07 18:47:00.126893
8,2023-06-07 18:47:00.145828
9,2023-06-07 18:47:00.164593
10,2023-06-07 18:47:00.183370
11,2023-06-07 18:47:00.202092
12,2023-06-07 18:47:00.220759
13,2023-06-07 18:47:00.242180
14,2023-06-07 18:47:00.261120
15,2023-06-07 18:47:00.288113
16,2023-06-07 18:47:00.310520
17,2023-06-07 18:47:00.361745
18,2023-06-07 18:47:00.382035
19,2023-06-07 18:47:00.400248
20,2023-06-07 18:47:00.440094
21,2023-06-07 18:47:00.468027
22,2023-06-07 18:47:00.486095
23,2023-06-07 18:47:00.503952
24,2023-06-07 18:47:00.521941
25,2023-06-07 18:47:00.542052
26,2023-06-07 18:47:00.559891
27,2023-06-07 18:47:00.577793
28,2023-06-07 18:47:00.595648
29,2023-06-07 18:47:00.613513
30,2023-06-07 18:47:00.631443
31,2023-06-07 18:47:00.649099
32,2023-06-07 18:47:00.666847
33,2023-06-07 18:47:00.684386
34,2023-06-07 18:47:00.701841
35,2023-06-07 18:47:00.719339
36,2023-06-07 18:47:00.737117
37,2023-06-07 18:47:00.754965
38,2023-06-07 18:47:00.772794
39,2023-06-07 18:47:00.790640
40,2023-06-07 18:47:00.808377
41,2023-06-07 18:47:00.827978
42,2023-06-07 18:47:00.845953
43,2023-06-07 18:47:00.863825
44,2023-06-07 18:47:00.881909
45,2023-06-07 18:47:00.899692
46,2023-06-07 18:47:00.917552
47,2023-06-07 18:47:00.935644
48,2023-06-07 18:47:00.953471
49,2023-06-07 18:47:00.971494
50,2023-06-07 18:47:00.989284
51,2023-06-07 18:47:01.006912
52,2023-06-07 18:47:01.025916
53,2023-06-07 18:47:01.043637
54,2023-06-07 18:47:01.061404
55,2023-06-07 18:47:01.078997
56,2023-06-07 18:47:01.096671
57,2023-06-07 18:47:01.114084
58,2023-06-07 18:47:01.131645
59,2023-06-07 18:47:01.150272
60,2023-06-07 18:47:01.168158
61,2023-06-07 18:47:01.187045
62,2023-06-07 18:47:01.205878
63,2023-06-07 18:47:01.224600
64,2023-06-07 18:47:01.243406
65,2023-06-07 18:47:01.262047
66,2023-06-07 18:47:01.279370
67,2023-06-07 18:47:01.308818
68,2023-06-07 18:47:01.334474
69,2023-06-07 18:47:01.362312
70,2023-06-07 18:47:01.380026
71,2023-06-07 18:47:01.397712
72,2023-06-07 18:47:01.415534
73,2023-06-07 18:47:01.435321
74,2023-06-07 18:47:01.463832
75,2023-06-07 18:47:01.481936
76,2023-06-07 18:47:01.516268
77,2023-06-07 18:47:01.534863
78,2023-06-07 18:47:01.554085
79,2023-06-07 18:47:01.574819
80,2023-06-07 18:47:01.599497
81,2023-06-07 18:47:01.617451
82,2023-06-07 18:47:01.638625
83,2023-06-07 18:47:01.658677
84,2023-06-07 18:47:01.679485
85,2023-06-07 18:47:01.713780
86,2023-06-07 18:47:01.736300
87,2023-06-07 18:47:01.753987
88,2023-06-07 18:47:01.771682
89,2023-06-07 18:47:01.789435
90,2023-06-07 18:47:01.807384
91,2023-06-07 18:47:01.825095
92,2023-06-07 18:47:01.842497
93,2023-06-07 18:47:01.859764
94,2023-06-07 18:47:01.877150
95,2023-06-07 18:47:01.894468
96,2023-06-07 18:47:01.912246
97,2023-06-07 18:47:01.930116
98,2023-06-07 18:47:01.947797
99,2023-06-07 18:47:01.965550
100,2023-06-07 18:47:01.983257
101,2023-06-07 18:47:02.001102
102,2023-06-07 18:47:02.018771
103,2023-06-07 18:47:02.036623
104,2023-06-07 18:47:02.054320
105,2023-06-07 18:47:02.071947
106,2023-06-07 18:47:02.089798
107,2023-06-07 18:47:02.107540
108,2023-06-07 18:47:02.125159
109,2023-06-07 18:47:02.142875
110,2023-06-07 18:47:02.160713
111,2023-06-07 18:47:02.178412
112,2023-06-07 18:47:02.195970
113,2023-06-07 18:47:02.213567
114,2023-06-07 18:47:02.231238
115,2023-06-07 18:47:02.248983
116,2023-06-07 18:47:02.266479
117,2023-06-07 18:47:02.284225
118,2023-06-07 18:47:02.302031
119,2023-06-07 18:47:02.321814
120,2023-06-07 18:47:02.339653
121,2023-06-07 18:47:02.357422
122,2023-06-07 18:47:02.375244
123,2023-06-07 18:47:02.393699
124,2023-06-07 18:47:02.411197
125,2023-06-07 18:47:02.428863
126,2023-06-07 18:47:02.446471
127,2023-06-07 18:47:02.464126
128,2023-06-07 18:47:02.481696
129,2023-06-07 18:47:02.499535
130,2023-06-07 18:47:02.517212
131,2023-06-07 18:47:02.534816
132,2023-06-07 18:47:02.552386
133,2023-06-07 18:47:02.569948
134,2023-06-07 18:47:02.587906
135,2023-06-07 18:47:02.605605
136,2023-06-07 18:47:02.623375
137,2023-06-07 18:47:02.641018
138,2023-06-07 18:47:02.658686
139,2023-06-07 18:47:02.676511
140,2023-06-07 18:47:02.694270
141,2023-06-07 18:47:02.711979
142,2023-06-07 18:47:02.729839
143,2023-06-07 18:47:02.747699
144,2023-06-07 18:47:02.765318
145,2023-06-07 18:47:02.783030
146,2023-06-07 18:47:02.800864
147,2023-06-07 18:47:02.818590
148,2023-06-07 18:47:02.836422
149,2023-06-07 18:47:02.854134
150,2023-06-07 18:47:02.871981
151,2023-06-07 18:47:02.889957
152,2023-06-07 18:47:02.907803
153,2023-06-07 18:47:02.925603
154,2023-06-07 18:47:02.943451
155,2023-06-07 18:47:02.961275
156,2023-06-07 18:47:02.978999
157,2023-06-07 18:47:02.996893
158,2023-06-07 18:47:03.014602
159,2023-06-07 18:47:03.032344
160,2023-06-07 18:47:03.050023
161,2023-06-07 18:47:03.067828
162,2023-06-07 18:47:03.085402
163,2023-06-07 18:47:03.105527
164,2023-06-07 18:47:03.123728
165,2023-06-07 18:47:03.141452
166,2023-06-07 18:47:03.159127
167,2023-06-07 18:47:03.176660
168,2023-06-07 18:47:03.194153
169,2023-06-07 18:47:03.211752
170,2023-06-07 18:47:03.229531
171,2023-06-07 18:47:03.247486
172,2023-06-07 18:47:03.265232
173,2023-06-07 18:47:03.283281
174,2023-06-07 18:47:03.300981
175,2023-06-07 18:47:03.318917
176,2023-06-07 18:47:03.336720
177,2023-06-07 18:47:03.354466
178,2023-06-07 18:47:03.372163
179,2023-06-07 18:47:03.390044
180,2023-06-07 18:47:03.407754
181,2023-06-07 18:47:03.425763
182,2023-06-07 18:47:03.443408
183,2023-06-07 18:47:03.460976
184,2023-06-07 18:47:03.478672
185,2023-06-07 18:47:03.496488
186,2023-06-07 18:47:03.516087
187,2023-06-07 18:47:03.533815
188,2023-06-07 18:47:03.551637
189,2023-06-07 18:47:03.569435
190,2023-06-07 18:47:03.587544
191,2023-06-07 18:47:03.605447
192,2023-06-07 18:47:03.623510
193,2023-06-07 18:47:03.641293
194,2023-06-07 18:47:03.659310
195,2023-06-07 18:47:03.677324
196,2023-06-07 18:47:03.695230
197,2023-06-07 18:47:03.713038
198,2023-06-07 18:47:03.731068
199,2023-06-07 18:47:03.748927
200,2023-06-07 18:47:03.766846
201,2023-06-07 18:47:03.784738
202,2023-06-07 18:47:03.802503
203,2023-06-07 18:47:03.820374
204,2023-06-07 18:47:03.838241
205,2023-06-07 18:47:03.856227
206,2023-06-07 18:47:03.873943
207,2023-06-07 18:47:03.891506
208,2023-06-07 18:47:03.908990
209,2023-06-07 18:47:03.926645
210,2023-06-07 18:47:03.944112
211,2023-06-07 18:47:03.961685
212,2023-06-07 18:47:03.979221
213,2023-06-07 18:47:04.000216
214,2023-06-07 18:47:04.018049
215,2023-06-07 18:47:04.036226
216,2023-06-07 18:47:04.053985
217,2023-06-07 18:47:04.071452
218,2023-06-07 18:47:04.088889
219,2023-06-07 18:47:04.106418
220,2023-06-07 18:47:04.124137
221,2023-06-07 18:47:04.141802
222,2023-06-07 18:47:04.159728
223,2023-06-07 18:47:04.177456
224,2023-06-07 18:47:04.195163
225,2023-06-07 18:47:04.212850
226,2023-06-07 18:47:04.231825
227,2023-06-07 18:47:04.249544
228,2023-06-07 18:47:04.267410
229,2023-06-07 18:47:04.285257
230,2023-06-07 18:47:04.303193
231,2023-06-07 18:47:04.320999
232,2023-06-07 18:47:04.338809
233,2023-06-07 18:47:04.356731
234,2023-06-07 18:47:04.374507
235,2023-06-07 18:47:04.392136
236,2023-06-07 18:47:04.409957
237,2023-06-07 18:47:04.428154
238,2023-06-07 18:47:04.446146
239,2023-06-07 18:47:04.464314
240,2023-06-07 18:47:04.482182
241,2023-06-07 18:47:04.499899
242,2023-06-07 18:47:04.517780
243,2023-06-07 18:47:04.535922
244,2023-06-07 18:47:04.553537
245,2023-06-07 18:47:04.571106
246,2023-06-07 18:47:04.588898
247,2023-06-07 18:47:04.606912
248,2023-06-07 18:47:04.624714
249,2023-06-07 18:47:04.642332
250,2023-06-07 18:47:04.659957
251,2023-06-07 18:47:04.677642
252,2023-06-07 18:47:04.695253
253,2023-06-07 18:47:04.712898
254,2023-06-07 18:47:04.730575
255,2023-06-07 18:47:04.748296
256,2023-06-07 18:47:04.765928
257,2023-06-07 18:47:04.783657
258,2023-06-07 18:47:04.801079
259,2023-06-07 18:47:04.818633
260,2023-06-07 18:47:04.836247
261,2023-06-07 18:47:04.853660
262,2023-06-07 18:47:04.871247
263,2023-06-07 18:47:04.888731
264,2023-06-07 18:47:04.906792
265,2023-06-07 18:47:04.924561
266,2023-06-07 18:47:04.942242
267,2023-06-07 18:47:04.960034
268,2023-06-07 18:47:04.977612
269,2023-06-07 18:47:04.995485
270,2023-06-07 18:47:05.013236
271,2023-06-07 18:47:05.030919
272,2023-06-07 18:47:05.048660
273,2023-06-07 18:47:05.066344
274,2023-06-07 18:47:05.084082
275,2023-06-07 18:47:05.101864
276,2023-06-07 18:47:05.119639
277,2023-06-07 18:47:05.137459
278,2023-06-07 18:47:05.155135
279,2023-06-07 18:47:05.172903
280,2023-06-07 18:47:05.190626
281,2023-06-07 18:47:05.208534
282,2023-06-07 18:47:05.226310
283,2023-06-07 18:47:05.244082
284,2023-06-07 18:47:05.262349
285,2023-06-07 18:47:05.280116
286,2023-06-07 18:47:05.297773
287,2023-06-07 18:47:05.315410
288,2023-06-07 18:47:05.333180
289,2023-06-07 18:47:05.350660
290,2023-06-07 18:47:05.368312
291,2023-06-07 18:47:05.385888
292,2023-06-07 18:47:05.403740
293,2023-06-07 18:47:05.421417
294,2023-06-07 18:47:05.438940
295,2023-06-07 18:47:05.456774
296,2023-06-07 18:47:05.474491
297,2023-06-07 18:47:05.492236
298,2023-06-07 18:47:05.509884
299,2023-06-07 18:47:05.527678
300,2023-06-07 18:47:05.546015
301,2023-06-07 18:47:05.563827
302,2023-06-07 18:47:05.584303
303,2023-06-07 18:47:05.601902
304,2023-06-07 18:47:05.619683
305,2023-06-07 18:47:05.637546
306,2023-06-07 18:47:05.655169
307,2023-06-07 18:47:05.672738
308,2023-06-07 18:47:05.690355
309,2023-06-07 18:47:05.707969
310,2023-06-07 18:47:05.728476
311,2023-06-07 18:47:05.745828
312,2023-06-07 18:47:05.763344
313,2023-06-07 18:47:05.780827
314,2023-06-07 18:47:05.798175
315,2023-06-07 18:47:05.815474
316,2023-06-07 18:47:05.833048
317,2023-06-07 18:47:05.850714
318,2023-06-07 18:47:05.868077
319,2023-06-07 18:47:05.885263
320,2023-06-07 18:47:05.902620
321,2023-06-07 18:47:05.920178
322,2023-06-07 18:47:05.937808
323,2023-06-07 18:47:05.955649
324,2023-06-07 18:47:05.973344
325,2023-06-07 18:47:05.990963
326,2023-06-07 18:47:06.008232
327,2023-06-07 18:47:06.025583
328,2023-06-07 18:47:06.042896
329,2023-06-07 18:47:06.063815
330,2023-06-07 18:47:06.081327
331,2023-06-07 18:47:06.098985
332,2023-06-07 18:47:06.116672
333,2023-06-07 18:47:06.134498
334,2023-06-07 18:47:06.152399
335,2023-06-07 18:47:06.170012
336,2023-06-07 18:47:06.187789
337,2023-06-07 18:47:06.205664
338,2023-06-07 18:47:06.223466
339,2023-06-07 18:47:06.241651
340,2023-06-07 18:47:06.259608
341,2023-06-07 18:47:06.277061
342,2023-06-07 18:47:06.295025
343,2023-06-07 18:47:06.312863
