83 : 43521 | Magnitude: 24728.384765625 | Phase_angle: 62.584176421369754
84 : 43521 | Magnitude: 24730.84765625 | Phase_angle: 63.51806135639643
85 : 43521 | Magnitude: 24755.818359375 | Phase_angle: 66.72667249260415
86 : 43521 | Magnitude: 24755.818359375 | Phase_angle: 69.43703498923777
87 : 43521 | Magnitude: 24764.890625 | Phase_angle: 69.01848782708856
88 : 43521 | Magnitude: 24764.947265625 | Phase_angle: 70.88633965941196
89 : 43521 | Magnitude: 24755.8828125 | Phase_angle: 72.61695250074227
90 : 43521 | Magnitude: 24767.47265625 | Phase_angle: 73.54480637873182
91 : 43521 | Magnitude: 24755.880859375 | Phase_angle: 74.02044026196401
92 : 43521 | Magnitude: 24755.97265625 | Phase_angle: 74.26683933627221
93 : 43521 | Magnitude: 24755.791015625 | Phase_angle: 77.55556176125502
94 : 43521 | Magnitude: 24755.615234375 | Phase_angle: 77.76181981381106
95 : 43521 | Magnitude: 24763.583984375 | Phase_angle: 79.23977029736427
96 : 43521 | Magnitude: 24753.185546875 | Phase_angle: 78.67864293629104
97 : 43521 | Magnitude: 24754.482421875 | Phase_angle: 79.18277236874052
98 : 43521 | Magnitude: 24758.408203125 | Phase_angle: 80.39739173903305
99 : 43521 | Magnitude: 24699.55078125 | Phase_angle: 80.37444913361098
100 : 43521 | Magnitude: 24736.29296875 | Phase_angle: 81.09696020439327
101 : 43521 | Magnitude: 24719.35546875 | Phase_angle: 83.87501670589089
102 : 43521 | Magnitude: 24691.763671875 | Phase_angle: 87.27866389384833
103 : 43521 | Magnitude: 24690.45703125 | Phase_angle: 87.77715159004337
104 : 43521 | Magnitude: 24687.78515625 | Phase_angle: 87.55368829096805
105 : 43521 | Magnitude: 24684.9296875 | Phase_angle: 87.09519135236344
106 : 43521 | Magnitude: 24660.4375 | Phase_angle: 88.4870814523745
107 : 43521 | Magnitude: 24682.673828125 | Phase_angle: 91.19225300523891
108 : 43521 | Magnitude: 24664.5625 | Phase_angle: 91.46815166657241
109 : 43521 | Magnitude: 24637.5078125 | Phase_angle: 91.75644712124948
110 : 43521 | Magnitude: 24691.763671875 | Phase_angle: 92.87646154134816
111 : 43521 | Magnitude: 24694.56640625 | Phase_angle: 93.87334131108987
112 : 43521 | Magnitude: 24664.2421875 | Phase_angle: 94.5729302670176
113 : 43521 | Magnitude: 24618.30078125 | Phase_angle: 94.78066364043435
114 : 43521 | Magnitude: 24691.701171875 | Phase_angle: 96.07929433751805
115 : 43521 | Magnitude: 24694.861328125 | Phase_angle: 97.13919626273146
116 : 43521 | Magnitude: 24701.017578125 | Phase_angle: 97.43120051012785
117 : 43521 | Magnitude: 24719.62890625 | Phase_angle: 97.72252173860723
118 : 43521 | Magnitude: 24700.107421875 | Phase_angle: 99.14999712419404
119 : 43521 | Magnitude: 24688.83984375 | Phase_angle: 98.60042644319648
120 : 43521 | Magnitude: 24719.259765625 | Phase_angle: 99.64851897133494
121 : 43521 | Magnitude: 24691.86328125 | Phase_angle: 100.65148443962713
122 : 43521 | Magnitude: 24691.9375 | Phase_angle: 101.67707832463955
123 : 43521 | Magnitude: 24690.42578125 | Phase_angle: 102.10109646831395
124 : 43521 | Magnitude: 24691.763671875 | Phase_angle: 103.3727684087436
125 : 43521 | Magnitude: 24682.607421875 | Phase_angle: 104.34135070475394
126 : 43521 | Magnitude: 24655.17578125 | Phase_angle: 106.07195671589508
127 : 43521 | Magnitude: 24685.404296875 | Phase_angle: 107.06228633422275
128 : 43521 | Magnitude: 24672.1484375 | Phase_angle: 107.05718418291275
129 : 43521 | Magnitude: 24664.5390625 | Phase_angle: 110.55764930235512
130 : 43521 | Magnitude: 24657.53125 | Phase_angle: 111.440239516715
131 : 43521 | Magnitude: 24639.533203125 | Phase_angle: 112.01972642627722
132 : 43521 | Magnitude: 24664.330078125 | Phase_angle: 112.83830410773574
133 : 43521 | Magnitude: 24664.43359375 | Phase_angle: 113.1133216746663
134 : 43521 | Magnitude: 24702.01953125 | Phase_angle: 114.76145315157954
135 : 43521 | Magnitude: 24767.11328125 | Phase_angle: 116.68237555375393
136 : 43521 | Magnitude: 24655.177734375 | Phase_angle: 117.27901989851122
137 : 43521 | Magnitude: 24655.177734375 | Phase_angle: 118.83176778366524
138 : 43521 | Magnitude: 24645.9921875 | Phase_angle: 119.85187019658498
139 : 43521 | Magnitude: 24673.38671875 | Phase_angle: 121.15191474282688
140 : 43521 | Magnitude: 24673.453125 | Phase_angle: 123.1916551158028
141 : 43521 | Magnitude: 24676.72265625 | Phase_angle: 124.26874862715714
142 : 43521 | Magnitude: 24673.359375 | Phase_angle: 125.19127495759408
143 : 43521 | Magnitude: 24673.328125 | Phase_angle: 127.74666729214928
144 : 43521 | Magnitude: 24676.3515625 | Phase_angle: 128.78364027231896
145 : 43521 | Magnitude: 24664.400390625 | Phase_angle: 129.33375736845014
146 : 43521 | Magnitude: 24655.244140625 | Phase_angle: 130.80025362476522
147 : 43521 | Magnitude: 24673.865234375 | Phase_angle: 131.0972712310124
148 : 43521 | Magnitude: 24591.0234375 | Phase_angle: 133.0413343140948
149 : 43521 | Magnitude: 24536.00390625 | Phase_angle: 133.27209908539285
150 : 43521 | Magnitude: 24655.181640625 | Phase_angle: 135.88873089604638
151 : 43521 | Magnitude: 24636.994140625 | Phase_angle: 136.1991356730668
152 : 43521 | Magnitude: 24673.384765625 | Phase_angle: 137.50442580459125
153 : 43521 | Magnitude: 24700.84765625 | Phase_angle: 140.5465510797799
154 : 43521 | Magnitude: 24700.642578125 | Phase_angle: 140.7929296635206
155 : 43521 | Magnitude: 24700.98828125 | Phase_angle: 142.27691120411092
156 : 43521 | Magnitude: 24691.763671875 | Phase_angle: 143.36005626306988
157 : 43521 | Magnitude: 24699.384765625 | Phase_angle: 143.89263343341247
158 : 43521 | Magnitude: 24696.22265625 | Phase_angle: 143.65768858634237
159 : 43521 | Magnitude: 24700.884765625 | Phase_angle: 146.82617236117628
160 : 43521 | Magnitude: 24746.556640625 | Phase_angle: 152.22315561688856
161 : 43521 | Magnitude: 24722.203125 | Phase_angle: 153.27249123945595
162 : 43521 | Magnitude: 24755.919921875 | Phase_angle: 153.87895739623974
163 : 43521 | Magnitude: 24765.03515625 | Phase_angle: 155.16785507375616
