index,magnitude,phase_angle,is_predicted,received_at
0,24801.626953125,-44.45006515612092,False,2023-06-07 18:24:44.676782
1,24801.626953125,-44.22088157361573,False,2023-06-07 18:24:44.695533
2,24801.626953125,-44.01461669087051,False,2023-06-07 18:24:44.715470
3,24792.470703125,-43.79116363707896,False,2023-06-07 18:24:44.733862
4,24801.626953125,-43.561980054573766,False,2023-06-07 18:24:44.751172
5,24801.626953125,-43.33279647206857,False,2023-06-07 18:24:44.768868
6,24801.626953125,-43.10361630465797,False,2023-06-07 18:24:44.786730
7,24801.626953125,-42.89162089319911,False,2023-06-07 18:24:44.804563
8,24801.626953125,-42.67389495302662,False,2023-06-07 18:24:44.822798
9,24801.626953125,-42.433253728188724,False,2023-06-07 18:24:44.840994
10,24801.626953125,-42.19261250335084,False,2023-06-07 18:24:44.858976
11,24801.626953125,-41.963428920845644,False,2023-06-07 18:24:44.876861
12,24810.78125,-41.73424533834045,False,2023-06-07 18:24:44.894792
13,24810.78125,-41.50506175583526,False,2023-06-07 18:24:44.912387
14,24801.626953125,-41.29306975947099,False,2023-06-07 18:24:44.930262
15,24801.626953125,-41.063886176965795,False,2023-06-07 18:24:44.947855
16,24801.626953125,-40.84043312317424,False,2023-06-07 18:24:44.965934
17,24801.626953125,-40.622707183001744,False,2023-06-07 18:24:44.984096
18,24801.626953125,-40.40498465792383,False,2023-06-07 18:24:45.001861
19,24801.626953125,-40.18726213284592,True,2023-06-07 18:24:46.040130
20,24801.626953125,-39.96380566395979,False,2023-06-07 18:24:45.037974
21,24801.626953125,-39.734622081454596,False,2023-06-07 18:24:45.055622
22,24801.626953125,-39.511169027663044,False,2023-06-07 18:24:45.073377
23,24801.626953125,-39.28198544515785,False,2023-06-07 18:24:45.091316
24,24801.626953125,-39.06426292007994,False,2023-06-07 18:24:45.109294
25,24801.626953125,-38.823621695242046,False,2023-06-07 18:24:45.131128
26,24801.751953125,-38.56005835554959,True,2023-06-07 18:24:46.040968
27,24801.626953125,-38.83507933757475,False,2023-06-07 18:24:45.167433
28,24801.626953125,-38.611626283783195,False,2023-06-07 18:24:45.184859
29,24801.626953125,-38.393900343610696,False,2023-06-07 18:24:45.203186
30,24801.626953125,-38.18190834724643,False,2023-06-07 18:24:45.220706
31,24792.470703125,-37.96418240707393,False,2023-06-07 18:24:45.239405
32,24792.470703125,-37.740729353282376,False,2023-06-07 18:24:45.256577
33,24792.470703125,-37.51154577077718,False,2023-06-07 18:24:45.274903
34,24792.470703125,-37.31101141674561,False,2023-06-07 18:24:45.293404
35,24792.470703125,-37.10474653400039,False,2023-06-07 18:24:45.310914
36,24792.470703125,-36.88129348020884,False,2023-06-07 18:24:45.328759
37,24792.55859375,-36.64064884027637,True,2023-06-07 18:24:46.041311
38,24792.470703125,-36.474494243432055,False,2023-06-07 18:24:45.364892
39,24792.470703125,-36.23384960349958,False,2023-06-07 18:24:45.382942
40,24792.470703125,-36.02185760713531,False,2023-06-07 18:24:45.403456
41,24792.470703125,-35.81559272439009,False,2023-06-07 18:24:45.421482
42,24792.470703125,-35.603597312931235,False,2023-06-07 18:24:45.439568
43,24783.31640625,-35.38014425913968,False,2023-06-07 18:24:45.457974
44,24783.31640625,-35.17387937639447,False,2023-06-07 18:24:45.475799
45,24783.31640625,-34.944695793889274,False,2023-06-07 18:24:45.493904
