index,sent_at
0,2023-06-07 18:24:44.676100
1,2023-06-07 18:24:44.693931
2,2023-06-07 18:24:44.713789
3,2023-06-07 18:24:44.731571
4,2023-06-07 18:24:44.749400
5,2023-06-07 18:24:44.767161
6,2023-06-07 18:24:44.784954
7,2023-06-07 18:24:44.802886
8,2023-06-07 18:24:44.820827
9,2023-06-07 18:24:44.839095
10,2023-06-07 18:24:44.857122
11,2023-06-07 18:24:44.875093
12,2023-06-07 18:24:44.892866
13,2023-06-07 18:24:44.910726
14,2023-06-07 18:24:44.928407
15,2023-06-07 18:24:44.946277
16,2023-06-07 18:24:44.964202
17,2023-06-07 18:24:44.982095
18,2023-06-07 18:24:45.000038
19,2023-06-07 18:24:45.017970
20,2023-06-07 18:24:45.035799
21,2023-06-07 18:24:45.053646
22,2023-06-07 18:24:45.071490
23,2023-06-07 18:24:45.089501
24,2023-06-07 18:24:45.107547
25,2023-06-07 18:24:45.129443
26,2023-06-07 18:24:45.147283
27,2023-06-07 18:24:45.165124
28,2023-06-07 18:24:45.183010
29,2023-06-07 18:24:45.201139
30,2023-06-07 18:24:45.219061
31,2023-06-07 18:24:45.236904
32,2023-06-07 18:24:45.255153
33,2023-06-07 18:24:45.273114
34,2023-06-07 18:24:45.291729
35,2023-06-07 18:24:45.309419
36,2023-06-07 18:24:45.327419
37,2023-06-07 18:24:45.345442
38,2023-06-07 18:24:45.363246
39,2023-06-07 18:24:45.381288
40,2023-06-07 18:24:45.401976
41,2023-06-07 18:24:45.419901
42,2023-06-07 18:24:45.438181
43,2023-06-07 18:24:45.456043
44,2023-06-07 18:24:45.474032
45,2023-06-07 18:24:45.491940
46,2023-06-07 18:24:45.509997
47,2023-06-07 18:24:45.527963
48,2023-06-07 18:24:45.545629
49,2023-06-07 18:24:45.563311
50,2023-06-07 18:24:45.581054
51,2023-06-07 18:24:45.599052
52,2023-06-07 18:24:45.616911
53,2023-06-07 18:24:45.634765
54,2023-06-07 18:24:45.652567
55,2023-06-07 18:24:45.670261
56,2023-06-07 18:24:45.688168
57,2023-06-07 18:24:45.706066
58,2023-06-07 18:24:45.724651
59,2023-06-07 18:24:45.742465
60,2023-06-07 18:24:45.760350
61,2023-06-07 18:24:45.778082
62,2023-06-07 18:24:45.795944
63,2023-06-07 18:24:45.813783
64,2023-06-07 18:24:45.833984
65,2023-06-07 18:24:45.851889
66,2023-06-07 18:24:45.869725
67,2023-06-07 18:24:45.887589
68,2023-06-07 18:24:45.905301
69,2023-06-07 18:24:45.923179
70,2023-06-07 18:24:45.941016
71,2023-06-07 18:24:45.958946
72,2023-06-07 18:24:45.976815
73,2023-06-07 18:24:45.994551
74,2023-06-07 18:24:46.012219
75,2023-06-07 18:24:46.029919
76,2023-06-07 18:24:46.047470
77,2023-06-07 18:24:46.065247
78,2023-06-07 18:24:46.083024
79,2023-06-07 18:24:46.100680
80,2023-06-07 18:24:46.118562
81,2023-06-07 18:24:46.136515
82,2023-06-07 18:24:46.154260
83,2023-06-07 18:24:46.172118
84,2023-06-07 18:24:46.190322
85,2023-06-07 18:24:46.208268
86,2023-06-07 18:24:46.225652
87,2023-06-07 18:24:46.243401
88,2023-06-07 18:24:46.261304
89,2023-06-07 18:24:46.279094
90,2023-06-07 18:24:46.296763
91,2023-06-07 18:24:46.314562
92,2023-06-07 18:24:46.332215
93,2023-06-07 18:24:46.350095
94,2023-06-07 18:24:46.367897
95,2023-06-07 18:24:46.385469
96,2023-06-07 18:24:46.402741
97,2023-06-07 18:24:46.420162
98,2023-06-07 18:24:46.437665
99,2023-06-07 18:24:46.455251
100,2023-06-07 18:24:46.472905
101,2023-06-07 18:24:46.490755
102,2023-06-07 18:24:46.508581
103,2023-06-07 18:24:46.526410
104,2023-06-07 18:24:46.544244
105,2023-06-07 18:24:46.562114
106,2023-06-07 18:24:46.579879
107,2023-06-07 18:24:46.597664
108,2023-06-07 18:24:46.615294
109,2023-06-07 18:24:46.633064
110,2023-06-07 18:24:46.653975
111,2023-06-07 18:24:46.671715
112,2023-06-07 18:24:46.689590
113,2023-06-07 18:24:46.707344
114,2023-06-07 18:24:46.725122
115,2023-06-07 18:24:46.746299
116,2023-06-07 18:24:46.764125
117,2023-06-07 18:24:46.781937
118,2023-06-07 18:24:46.799679
119,2023-06-07 18:24:46.817490
120,2023-06-07 18:24:46.835341
121,2023-06-07 18:24:46.853150
122,2023-06-07 18:24:46.870774
123,2023-06-07 18:24:46.888522
124,2023-06-07 18:24:46.906234
125,2023-06-07 18:24:46.924063
126,2023-06-07 18:24:46.941691
127,2023-06-07 18:24:46.959450
128,2023-06-07 18:24:46.977211
129,2023-06-07 18:24:46.994987
130,2023-06-07 18:24:47.012577
131,2023-06-07 18:24:47.030233
132,2023-06-07 18:24:47.048054
133,2023-06-07 18:24:47.066150
134,2023-06-07 18:24:47.083850
135,2023-06-07 18:24:47.101449
136,2023-06-07 18:24:47.119049
137,2023-06-07 18:24:47.136802
138,2023-06-07 18:24:47.154510
139,2023-06-07 18:24:47.172249
140,2023-06-07 18:24:47.189974
141,2023-06-07 18:24:47.207609
142,2023-06-07 18:24:47.225376
143,2023-06-07 18:24:47.243215
144,2023-06-07 18:24:47.261026
145,2023-06-07 18:24:47.278803
146,2023-06-07 18:24:47.296544
147,2023-06-07 18:24:47.314239
148,2023-06-07 18:24:47.332062
149,2023-06-07 18:24:47.349919
150,2023-06-07 18:24:47.367644
151,2023-06-07 18:24:47.385366
152,2023-06-07 18:24:47.403074
153,2023-06-07 18:24:47.420772
154,2023-06-07 18:24:47.438450
155,2023-06-07 18:24:47.456210
156,2023-06-07 18:24:47.474185
157,2023-06-07 18:24:47.491928
158,2023-06-07 18:24:47.509873
159,2023-06-07 18:24:47.527639
160,2023-06-07 18:24:47.546982
161,2023-06-07 18:24:47.564711
162,2023-06-07 18:24:47.582297
163,2023-06-07 18:24:47.599963
164,2023-06-07 18:24:47.617658
165,2023-06-07 18:24:47.635363
166,2023-06-07 18:24:47.653167
167,2023-06-07 18:24:47.670894
168,2023-06-07 18:24:47.688584
169,2023-06-07 18:24:47.706272
170,2023-06-07 18:24:47.723882
171,2023-06-07 18:24:47.741658
172,2023-06-07 18:24:47.759398
173,2023-06-07 18:24:47.777246
174,2023-06-07 18:24:47.795083
175,2023-06-07 18:24:47.812811
176,2023-06-07 18:24:47.830409
177,2023-06-07 18:24:47.848046
178,2023-06-07 18:24:47.865923
179,2023-06-07 18:24:47.883671
180,2023-06-07 18:24:47.901403
181,2023-06-07 18:24:47.919170
182,2023-06-07 18:24:47.936875
183,2023-06-07 18:24:47.954642
184,2023-06-07 18:24:47.972415
185,2023-06-07 18:24:47.989935
186,2023-06-07 18:24:48.007474
187,2023-06-07 18:24:48.025055
188,2023-06-07 18:24:48.042752
189,2023-06-07 18:24:48.060568
190,2023-06-07 18:24:48.078253
191,2023-06-07 18:24:48.096082
192,2023-06-07 18:24:48.113881
193,2023-06-07 18:24:48.131522
194,2023-06-07 18:24:48.149243
195,2023-06-07 18:24:48.166933
196,2023-06-07 18:24:48.184754
197,2023-06-07 18:24:48.202390
198,2023-06-07 18:24:48.220060
199,2023-06-07 18:24:48.237757
200,2023-06-07 18:24:48.255550
201,2023-06-07 18:24:48.273205
202,2023-06-07 18:24:48.290904
203,2023-06-07 18:24:48.308549
204,2023-06-07 18:24:48.326247
205,2023-06-07 18:24:48.344095
206,2023-06-07 18:24:48.361934
207,2023-06-07 18:24:48.379818
208,2023-06-07 18:24:48.397440
209,2023-06-07 18:24:48.415047
210,2023-06-07 18:24:48.432764
211,2023-06-07 18:24:48.450441
212,2023-06-07 18:24:48.468258
213,2023-06-07 18:24:48.486084
214,2023-06-07 18:24:48.503858
215,2023-06-07 18:24:48.521599
216,2023-06-07 18:24:48.539270
217,2023-06-07 18:24:48.556886
218,2023-06-07 18:24:48.574542
219,2023-06-07 18:24:48.592359
220,2023-06-07 18:24:48.610042
221,2023-06-07 18:24:48.627837
222,2023-06-07 18:24:48.645772
223,2023-06-07 18:24:48.667300
224,2023-06-07 18:24:48.685075
225,2023-06-07 18:24:48.702834
226,2023-06-07 18:24:48.720555
227,2023-06-07 18:24:48.738331
228,2023-06-07 18:24:48.756243
229,2023-06-07 18:24:48.774109
230,2023-06-07 18:24:48.791711
231,2023-06-07 18:24:48.809569
232,2023-06-07 18:24:48.827292
233,2023-06-07 18:24:48.845106
234,2023-06-07 18:24:48.862828
235,2023-06-07 18:24:48.880627
236,2023-06-07 18:24:48.898313
237,2023-06-07 18:24:48.915988
238,2023-06-07 18:24:48.933779
239,2023-06-07 18:24:48.951496
240,2023-06-07 18:24:48.969267
241,2023-06-07 18:24:48.987094
242,2023-06-07 18:24:49.004921
243,2023-06-07 18:24:49.022596
244,2023-06-07 18:24:49.040371
245,2023-06-07 18:24:49.058128
246,2023-06-07 18:24:49.075775
247,2023-06-07 18:24:49.093454
248,2023-06-07 18:24:49.111192
249,2023-06-07 18:24:49.129032
250,2023-06-07 18:24:49.146735
251,2023-06-07 18:24:49.164488
252,2023-06-07 18:24:49.182156
253,2023-06-07 18:24:49.199894
254,2023-06-07 18:24:49.217605
255,2023-06-07 18:24:49.235308
256,2023-06-07 18:24:49.253092
257,2023-06-07 18:24:49.271035
258,2023-06-07 18:24:49.289102
259,2023-06-07 18:24:49.308434
260,2023-06-07 18:24:49.326211
