index,sent_at
0,2023-06-07 18:41:12.259624
1,2023-06-07 18:41:12.277698
2,2023-06-07 18:41:12.295997
3,2023-06-07 18:41:12.314384
4,2023-06-07 18:41:12.332314
5,2023-06-07 18:41:12.350256
6,2023-06-07 18:41:12.370274
7,2023-06-07 18:41:12.389190
8,2023-06-07 18:41:12.409957
9,2023-06-07 18:41:12.440073
10,2023-06-07 18:41:12.458054
11,2023-06-07 18:41:12.478290
12,2023-06-07 18:41:12.498551
13,2023-06-07 18:41:12.520504
14,2023-06-07 18:41:12.540540
15,2023-06-07 18:41:12.558284
16,2023-06-07 18:41:12.582148
17,2023-06-07 18:41:12.600355
18,2023-06-07 18:41:12.621798
19,2023-06-07 18:41:12.639712
20,2023-06-07 18:41:12.658216
21,2023-06-07 18:41:12.679527
22,2023-06-07 18:41:12.699541
23,2023-06-07 18:41:12.720439
24,2023-06-07 18:41:12.739537
25,2023-06-07 18:41:12.757826
26,2023-06-07 18:41:12.777457
27,2023-06-07 18:41:12.797891
28,2023-06-07 18:41:12.818213
29,2023-06-07 18:41:12.836172
30,2023-06-07 18:41:12.857944
31,2023-06-07 18:41:12.877295
32,2023-06-07 18:41:12.897195
33,2023-06-07 18:41:12.917506
34,2023-06-07 18:41:12.937741
35,2023-06-07 18:41:12.955630
36,2023-06-07 18:41:12.973749
37,2023-06-07 18:41:12.994220
38,2023-06-07 18:41:13.014139
39,2023-06-07 18:41:13.032752
40,2023-06-07 18:41:13.052152
41,2023-06-07 18:41:13.070086
42,2023-06-07 18:41:13.087986
43,2023-06-07 18:41:13.105796
44,2023-06-07 18:41:13.123608
45,2023-06-07 18:41:13.141293
46,2023-06-07 18:41:13.159156
47,2023-06-07 18:41:13.176944
48,2023-06-07 18:41:13.194643
49,2023-06-07 18:41:13.212287
50,2023-06-07 18:41:13.230116
51,2023-06-07 18:41:13.247832
52,2023-06-07 18:41:13.265815
53,2023-06-07 18:41:13.283780
54,2023-06-07 18:41:13.302348
55,2023-06-07 18:41:13.320077
56,2023-06-07 18:41:13.337902
57,2023-06-07 18:41:13.355661
58,2023-06-07 18:41:13.373386
59,2023-06-07 18:41:13.391249
60,2023-06-07 18:41:13.409000
61,2023-06-07 18:41:13.426835
62,2023-06-07 18:41:13.444698
63,2023-06-07 18:41:13.462405
64,2023-06-07 18:41:13.480144
65,2023-06-07 18:41:13.498011
66,2023-06-07 18:41:13.515939
