index,sent_at
0,2023-06-07 18:02:35.761516
1,2023-06-07 18:02:35.779068
2,2023-06-07 18:02:35.796931
3,2023-06-07 18:02:35.815101
4,2023-06-07 18:02:35.833034
5,2023-06-07 18:02:35.851298
6,2023-06-07 18:02:35.869184
7,2023-06-07 18:02:35.886981
8,2023-06-07 18:02:35.904888
9,2023-06-07 18:02:35.922903
10,2023-06-07 18:02:35.940793
11,2023-06-07 18:02:35.958605
12,2023-06-07 18:02:35.976558
13,2023-06-07 18:02:35.994554
14,2023-06-07 18:02:36.012578
15,2023-06-07 18:02:36.030508
16,2023-06-07 18:02:36.049964
17,2023-06-07 18:02:36.067892
18,2023-06-07 18:02:36.085751
19,2023-06-07 18:02:36.103689
20,2023-06-07 18:02:36.121620
21,2023-06-07 18:02:36.139226
22,2023-06-07 18:02:36.157052
23,2023-06-07 18:02:36.175799
24,2023-06-07 18:02:36.194005
25,2023-06-07 18:02:36.213865
26,2023-06-07 18:02:36.231793
27,2023-06-07 18:02:36.250122
28,2023-06-07 18:02:36.267981
29,2023-06-07 18:02:36.285921
30,2023-06-07 18:02:36.305278
31,2023-06-07 18:02:36.323248
32,2023-06-07 18:02:36.341008
33,2023-06-07 18:02:36.358784
34,2023-06-07 18:02:36.376766
35,2023-06-07 18:02:36.395411
36,2023-06-07 18:02:36.416899
37,2023-06-07 18:02:36.435157
38,2023-06-07 18:02:36.452740
39,2023-06-07 18:02:36.470707
40,2023-06-07 18:02:36.488797
41,2023-06-07 18:02:36.506765
42,2023-06-07 18:02:36.524559
43,2023-06-07 18:02:36.542329
44,2023-06-07 18:02:36.560046
45,2023-06-07 18:02:36.578160
46,2023-06-07 18:02:36.596118
47,2023-06-07 18:02:36.614120
48,2023-06-07 18:02:36.632022
49,2023-06-07 18:02:36.650005
50,2023-06-07 18:02:36.667820
51,2023-06-07 18:02:36.689631
52,2023-06-07 18:02:36.707656
53,2023-06-07 18:02:36.725677
54,2023-06-07 18:02:36.743484
55,2023-06-07 18:02:36.761418
56,2023-06-07 18:02:36.779600
57,2023-06-07 18:02:36.797402
58,2023-06-07 18:02:36.815271
59,2023-06-07 18:02:36.833255
60,2023-06-07 18:02:36.851093
61,2023-06-07 18:02:36.868909
62,2023-06-07 18:02:36.886602
63,2023-06-07 18:02:36.904428
64,2023-06-07 18:02:36.922262
65,2023-06-07 18:02:36.940063
66,2023-06-07 18:02:36.958691
67,2023-06-07 18:02:36.976681
68,2023-06-07 18:02:36.994539
69,2023-06-07 18:02:37.012566
70,2023-06-07 18:02:37.030374
71,2023-06-07 18:02:37.048364
72,2023-06-07 18:02:37.066158
73,2023-06-07 18:02:37.084213
74,2023-06-07 18:02:37.102121
75,2023-06-07 18:02:37.121206
76,2023-06-07 18:02:37.139010
77,2023-06-07 18:02:37.157006
78,2023-06-07 18:02:37.174712
79,2023-06-07 18:02:37.192457
80,2023-06-07 18:02:37.210291
81,2023-06-07 18:02:37.228204
82,2023-06-07 18:02:37.245950
83,2023-06-07 18:02:37.265706
84,2023-06-07 18:02:37.283697
85,2023-06-07 18:02:37.301265
86,2023-06-07 18:02:37.318635
87,2023-06-07 18:02:37.336337
88,2023-06-07 18:02:37.354055
89,2023-06-07 18:02:37.372004
90,2023-06-07 18:02:37.389972
91,2023-06-07 18:02:37.407954
92,2023-06-07 18:02:37.425951
93,2023-06-07 18:02:37.443770
94,2023-06-07 18:02:37.461920
95,2023-06-07 18:02:37.479609
96,2023-06-07 18:02:37.497505
97,2023-06-07 18:02:37.515548
98,2023-06-07 18:02:37.533574
99,2023-06-07 18:02:37.551476
100,2023-06-07 18:02:37.569309
101,2023-06-07 18:02:37.587124
102,2023-06-07 18:02:37.605270
103,2023-06-07 18:02:37.623149
104,2023-06-07 18:02:37.641172
105,2023-06-07 18:02:37.659106
106,2023-06-07 18:02:37.677041
107,2023-06-07 18:02:37.694944
108,2023-06-07 18:02:37.713050
109,2023-06-07 18:02:37.731005
110,2023-06-07 18:02:37.749040
111,2023-06-07 18:02:37.766798
112,2023-06-07 18:02:37.784806
113,2023-06-07 18:02:37.802800
114,2023-06-07 18:02:37.820730
115,2023-06-07 18:02:37.841490
116,2023-06-07 18:02:37.859235
117,2023-06-07 18:02:37.877242
118,2023-06-07 18:02:37.894959
119,2023-06-07 18:02:37.912929
120,2023-06-07 18:02:37.930847
121,2023-06-07 18:02:37.948776
122,2023-06-07 18:02:37.966746
123,2023-06-07 18:02:37.984716
124,2023-06-07 18:02:38.002480
125,2023-06-07 18:02:38.020474
126,2023-06-07 18:02:38.038176
127,2023-06-07 18:02:38.055981
128,2023-06-07 18:02:38.073796
129,2023-06-07 18:02:38.091749
130,2023-06-07 18:02:38.109705
131,2023-06-07 18:02:38.127719
132,2023-06-07 18:02:38.145700
133,2023-06-07 18:02:38.163716
134,2023-06-07 18:02:38.181810
135,2023-06-07 18:02:38.199792
136,2023-06-07 18:02:38.217595
137,2023-06-07 18:02:38.235631
138,2023-06-07 18:02:38.253636
139,2023-06-07 18:02:38.271602
140,2023-06-07 18:02:38.289529
141,2023-06-07 18:02:38.307415
142,2023-06-07 18:02:38.325425
143,2023-06-07 18:02:38.343065
144,2023-06-07 18:02:38.360991
145,2023-06-07 18:02:38.378916
146,2023-06-07 18:02:38.396591
147,2023-06-07 18:02:38.417897
148,2023-06-07 18:02:38.435720
149,2023-06-07 18:02:38.453779
150,2023-06-07 18:02:38.471723
151,2023-06-07 18:02:38.489723
152,2023-06-07 18:02:38.507706
153,2023-06-07 18:02:38.525727
154,2023-06-07 18:02:38.543746
155,2023-06-07 18:02:38.561759
156,2023-06-07 18:02:38.579630
157,2023-06-07 18:02:38.597688
158,2023-06-07 18:02:38.615769
159,2023-06-07 18:02:38.633817
160,2023-06-07 18:02:38.651887
161,2023-06-07 18:02:38.670037
162,2023-06-07 18:02:38.688042
163,2023-06-07 18:02:38.705925
164,2023-06-07 18:02:38.723899
165,2023-06-07 18:02:38.741970
166,2023-06-07 18:02:38.759926
167,2023-06-07 18:02:38.777915
168,2023-06-07 18:02:38.795788
169,2023-06-07 18:02:38.814060
170,2023-06-07 18:02:38.832275
171,2023-06-07 18:02:38.850171
172,2023-06-07 18:02:38.868242
173,2023-06-07 18:02:38.886165
174,2023-06-07 18:02:38.904202
175,2023-06-07 18:02:38.922074
176,2023-06-07 18:02:38.939966
177,2023-06-07 18:02:38.958021
178,2023-06-07 18:02:38.975995
179,2023-06-07 18:02:38.997864
180,2023-06-07 18:02:39.015800
181,2023-06-07 18:02:39.033869
182,2023-06-07 18:02:39.051850
183,2023-06-07 18:02:39.070060
184,2023-06-07 18:02:39.087919
185,2023-06-07 18:02:39.105659
186,2023-06-07 18:02:39.123791
187,2023-06-07 18:02:39.142249
188,2023-06-07 18:02:39.160128
189,2023-06-07 18:02:39.178933
190,2023-06-07 18:02:39.198193
191,2023-06-07 18:02:39.220376
192,2023-06-07 18:02:39.242244
193,2023-06-07 18:02:39.265713
194,2023-06-07 18:02:39.283698
195,2023-06-07 18:02:39.302216
196,2023-06-07 18:02:39.320410
197,2023-06-07 18:02:39.342319
198,2023-06-07 18:02:39.362275
199,2023-06-07 18:02:39.382812
200,2023-06-07 18:02:39.405670
201,2023-06-07 18:02:39.425751
202,2023-06-07 18:02:39.445606
203,2023-06-07 18:02:39.469582
204,2023-06-07 18:02:39.487478
205,2023-06-07 18:02:39.509537
206,2023-06-07 18:02:39.527695
207,2023-06-07 18:02:39.545613
208,2023-06-07 18:02:39.565703
209,2023-06-07 18:02:39.585019
210,2023-06-07 18:02:39.604854
211,2023-06-07 18:02:39.622625
212,2023-06-07 18:02:39.641943
213,2023-06-07 18:02:39.661482
214,2023-06-07 18:02:39.679479
215,2023-06-07 18:02:39.697925
216,2023-06-07 18:02:39.718049
217,2023-06-07 18:02:39.736562
218,2023-06-07 18:02:39.761529
219,2023-06-07 18:02:39.781937
220,2023-06-07 18:02:39.800401
221,2023-06-07 18:02:39.822229
222,2023-06-07 18:02:39.843209
223,2023-06-07 18:02:39.861189
224,2023-06-07 18:02:39.878901
225,2023-06-07 18:02:39.900089
226,2023-06-07 18:02:39.918068
227,2023-06-07 18:02:39.935889
228,2023-06-07 18:02:39.955889
229,2023-06-07 18:02:39.973516
230,2023-06-07 18:02:39.993146
231,2023-06-07 18:02:40.011502
232,2023-06-07 18:02:40.030346
233,2023-06-07 18:02:40.048765
234,2023-06-07 18:02:40.068260
235,2023-06-07 18:02:40.086068
236,2023-06-07 18:02:40.106196
237,2023-06-07 18:02:40.126268
238,2023-06-07 18:02:40.144066
239,2023-06-07 18:02:40.161901
240,2023-06-07 18:02:40.180667
241,2023-06-07 18:02:40.198311
242,2023-06-07 18:02:40.217358
243,2023-06-07 18:02:40.237623
244,2023-06-07 18:02:40.257842
245,2023-06-07 18:02:40.277902
246,2023-06-07 18:02:40.295339
247,2023-06-07 18:02:40.313885
248,2023-06-07 18:02:40.333999
249,2023-06-07 18:02:40.354251
250,2023-06-07 18:02:40.373136
251,2023-06-07 18:02:40.393549
252,2023-06-07 18:02:40.413609
253,2023-06-07 18:02:40.433598
254,2023-06-07 18:02:40.451825
255,2023-06-07 18:02:40.473504
256,2023-06-07 18:02:40.493514
257,2023-06-07 18:02:40.511538
258,2023-06-07 18:02:40.529324
259,2023-06-07 18:02:40.549515
260,2023-06-07 18:02:40.579558
261,2023-06-07 18:02:40.602206
262,2023-06-07 18:02:40.621531
263,2023-06-07 18:02:40.641062
264,2023-06-07 18:02:40.659185
265,2023-06-07 18:02:40.677122
266,2023-06-07 18:02:40.696563
267,2023-06-07 18:02:40.717524
268,2023-06-07 18:02:40.735769
269,2023-06-07 18:02:40.756194
270,2023-06-07 18:02:40.777304
271,2023-06-07 18:02:40.798355
272,2023-06-07 18:02:40.816760
273,2023-06-07 18:02:40.837757
274,2023-06-07 18:02:40.857151
275,2023-06-07 18:02:40.877918
276,2023-06-07 18:02:40.895863
277,2023-06-07 18:02:40.917683
278,2023-06-07 18:02:40.938297
279,2023-06-07 18:02:40.957782
280,2023-06-07 18:02:40.977852
281,2023-06-07 18:02:40.998333
282,2023-06-07 18:02:41.021465
283,2023-06-07 18:02:41.043199
284,2023-06-07 18:02:41.061045
285,2023-06-07 18:02:41.079142
286,2023-06-07 18:02:41.097194
287,2023-06-07 18:02:41.115135
288,2023-06-07 18:02:41.133563
289,2023-06-07 18:02:41.153820
290,2023-06-07 18:02:41.173622
291,2023-06-07 18:02:41.196254
292,2023-06-07 18:02:41.215444
293,2023-06-07 18:02:41.233888
294,2023-06-07 18:02:41.253721
295,2023-06-07 18:02:41.273550
296,2023-06-07 18:02:41.293847
297,2023-06-07 18:02:41.312843
298,2023-06-07 18:02:41.333295
299,2023-06-07 18:02:41.351154
300,2023-06-07 18:02:41.368970
301,2023-06-07 18:02:41.390233
302,2023-06-07 18:02:41.411502
303,2023-06-07 18:02:41.433250
304,2023-06-07 18:02:41.451236
305,2023-06-07 18:02:41.470196
306,2023-06-07 18:02:41.488776
307,2023-06-07 18:02:41.506797
308,2023-06-07 18:02:41.524988
309,2023-06-07 18:02:41.543375
310,2023-06-07 18:02:41.565603
311,2023-06-07 18:02:41.583474
312,2023-06-07 18:02:41.601231
313,2023-06-07 18:02:41.624967
314,2023-06-07 18:02:41.644749
315,2023-06-07 18:02:41.663736
316,2023-06-07 18:02:41.681730
317,2023-06-07 18:02:41.701661
318,2023-06-07 18:02:41.720947
319,2023-06-07 18:02:41.741351
320,2023-06-07 18:02:41.765384
321,2023-06-07 18:02:41.785850
322,2023-06-07 18:02:41.805313
323,2023-06-07 18:02:41.859188
324,2023-06-07 18:02:41.882304
325,2023-06-07 18:02:41.905203
326,2023-06-07 18:02:41.956128
327,2023-06-07 18:02:42.010357
328,2023-06-07 18:02:42.053359
329,2023-06-07 18:02:42.079619
330,2023-06-07 18:02:42.111830
331,2023-06-07 18:02:42.172376
332,2023-06-07 18:02:42.202570
333,2023-06-07 18:02:42.225778
334,2023-06-07 18:02:42.257829
335,2023-06-07 18:02:42.278575
336,2023-06-07 18:02:42.317836
337,2023-06-07 18:02:42.382067
338,2023-06-07 18:02:42.428749
339,2023-06-07 18:02:42.483616
340,2023-06-07 18:02:42.501265
341,2023-06-07 18:02:42.519166
342,2023-06-07 18:02:42.537190
343,2023-06-07 18:02:42.555261
344,2023-06-07 18:02:42.573398
345,2023-06-07 18:02:42.591453
346,2023-06-07 18:02:42.612351
347,2023-06-07 18:02:42.630085
348,2023-06-07 18:02:42.647812
349,2023-06-07 18:02:42.665663
350,2023-06-07 18:02:42.683942
351,2023-06-07 18:02:42.702036
352,2023-06-07 18:02:42.720136
353,2023-06-07 18:02:42.738151
354,2023-06-07 18:02:42.755752
355,2023-06-07 18:02:42.773382
356,2023-06-07 18:02:42.791282
357,2023-06-07 18:02:42.809224
358,2023-06-07 18:02:42.827004
359,2023-06-07 18:02:42.844762
360,2023-06-07 18:02:42.862451
361,2023-06-07 18:02:42.880395
362,2023-06-07 18:02:42.897963
363,2023-06-07 18:02:42.915782
364,2023-06-07 18:02:42.933402
365,2023-06-07 18:02:42.951439
366,2023-06-07 18:02:42.969493
367,2023-06-07 18:02:42.987300
368,2023-06-07 18:02:43.005049
369,2023-06-07 18:02:43.022875
370,2023-06-07 18:02:43.044683
371,2023-06-07 18:02:43.062243
372,2023-06-07 18:02:43.080083
373,2023-06-07 18:02:43.098055
374,2023-06-07 18:02:43.115909
375,2023-06-07 18:02:43.134131
376,2023-06-07 18:02:43.152079
377,2023-06-07 18:02:43.169924
378,2023-06-07 18:02:43.187745
379,2023-06-07 18:02:43.205571
380,2023-06-07 18:02:43.223403
381,2023-06-07 18:02:43.241020
382,2023-06-07 18:02:43.258784
383,2023-06-07 18:02:43.276667
384,2023-06-07 18:02:43.294143
385,2023-06-07 18:02:43.311449
386,2023-06-07 18:02:43.328768
387,2023-06-07 18:02:43.346198
388,2023-06-07 18:02:43.363757
389,2023-06-07 18:02:43.381443
390,2023-06-07 18:02:43.398879
391,2023-06-07 18:02:43.416656
392,2023-06-07 18:02:43.434311
393,2023-06-07 18:02:43.452144
394,2023-06-07 18:02:43.469785
395,2023-06-07 18:02:43.487602
396,2023-06-07 18:02:43.505383
397,2023-06-07 18:02:43.523068
398,2023-06-07 18:02:43.540869
399,2023-06-07 18:02:43.558619
400,2023-06-07 18:02:43.576432
401,2023-06-07 18:02:43.594202
402,2023-06-07 18:02:43.612054
403,2023-06-07 18:02:43.630019
404,2023-06-07 18:02:43.647921
405,2023-06-07 18:02:43.665869
406,2023-06-07 18:02:43.683571
407,2023-06-07 18:02:43.702832
408,2023-06-07 18:02:43.720517
409,2023-06-07 18:02:43.738119
410,2023-06-07 18:02:43.756168
411,2023-06-07 18:02:43.773978
412,2023-06-07 18:02:43.791819
413,2023-06-07 18:02:43.809523
414,2023-06-07 18:02:43.827235
415,2023-06-07 18:02:43.844913
416,2023-06-07 18:02:43.862560
417,2023-06-07 18:02:43.880404
418,2023-06-07 18:02:43.898119
419,2023-06-07 18:02:43.915981
420,2023-06-07 18:02:43.933976
421,2023-06-07 18:02:43.951792
422,2023-06-07 18:02:43.969574
423,2023-06-07 18:02:43.987356
424,2023-06-07 18:02:44.005302
425,2023-06-07 18:02:44.023000
426,2023-06-07 18:02:44.041050
427,2023-06-07 18:02:44.058774
428,2023-06-07 18:02:44.076689
429,2023-06-07 18:02:44.094472
430,2023-06-07 18:02:44.112268
431,2023-06-07 18:02:44.133352
432,2023-06-07 18:02:44.151029
433,2023-06-07 18:02:44.170483
434,2023-06-07 18:02:44.188139
435,2023-06-07 18:02:44.205728
436,2023-06-07 18:02:44.224294
437,2023-06-07 18:02:44.242092
438,2023-06-07 18:02:44.260013
439,2023-06-07 18:02:44.277922
440,2023-06-07 18:02:44.295745
441,2023-06-07 18:02:44.313477
442,2023-06-07 18:02:44.331189
443,2023-06-07 18:02:44.348721
444,2023-06-07 18:02:44.366343
445,2023-06-07 18:02:44.384210
446,2023-06-07 18:02:44.402224
447,2023-06-07 18:02:44.419992
448,2023-06-07 18:02:44.437934
