index,magnitude,phase_angle,is_predicted,received_at
0,24801.626953125,-44.45006515612092,False,2023-06-07 18:09:33.919309
1,24801.626953125,-44.22088157361573,False,2023-06-07 18:09:33.936506
2,24801.626953125,-44.01461669087051,False,2023-06-07 18:09:33.954320
3,24792.470703125,-43.79116363707896,False,2023-06-07 18:09:33.973182
4,24801.626953125,-43.561980054573766,False,2023-06-07 18:09:33.991044
5,24801.626953125,-43.33279647206857,False,2023-06-07 18:09:34.008720
6,24801.626953125,-43.10361630465797,False,2023-06-07 18:09:34.026576
7,24801.626953125,-42.89162089319911,False,2023-06-07 18:09:34.044223
8,24801.626953125,-42.67389495302662,False,2023-06-07 18:09:34.062206
9,24801.626953125,-42.433253728188724,False,2023-06-07 18:09:34.079952
10,24801.626953125,-42.19261250335084,False,2023-06-07 18:09:34.099490
11,24801.626953125,-41.963428920845644,False,2023-06-07 18:09:34.117545
12,24810.78125,-41.73424533834045,False,2023-06-07 18:09:34.135636
13,24810.78125,-41.50506175583526,False,2023-06-07 18:09:34.153438
14,24801.626953125,-41.29306975947099,False,2023-06-07 18:09:34.171088
15,24801.626953125,-41.063886176965795,False,2023-06-07 18:09:34.188946
16,24801.626953125,-40.84043312317424,False,2023-06-07 18:09:34.206733
17,24801.626953125,-40.622707183001744,False,2023-06-07 18:09:34.227786
18,24801.599609375,-40.41070494135372,True,2023-06-07 18:09:35.265201
19,24801.626953125,-40.18153160413228,False,2023-06-07 18:09:34.263461
20,24801.626953125,-39.96380566395979,False,2023-06-07 18:09:34.279457
21,24801.626953125,-39.734622081454596,False,2023-06-07 18:09:34.298465
22,24801.626953125,-39.511169027663044,False,2023-06-07 18:09:34.316011
23,24801.626953125,-39.28198544515785,False,2023-06-07 18:09:34.334059
24,24801.626953125,-39.06426292007994,False,2023-06-07 18:09:34.351573
25,24801.626953125,-38.823621695242046,False,2023-06-07 18:09:34.374820
26,24801.626953125,-39.06426292007994,False,2023-06-07 18:09:34.392668
27,24801.626953125,-38.83507933757475,False,2023-06-07 18:09:34.410512
28,24801.626953125,-38.611626283783195,False,2023-06-07 18:09:34.428037
29,24801.626953125,-38.393900343610696,False,2023-06-07 18:09:34.445771
30,24801.626953125,-38.18190834724643,False,2023-06-07 18:09:34.463747
31,24792.470703125,-37.96418240707393,False,2023-06-07 18:09:34.486063
32,24792.470703125,-37.740729353282376,False,2023-06-07 18:09:34.503414
33,24801.65625,-37.51179507268189,True,2023-06-07 18:09:35.266218
34,24792.470703125,-37.31101141674561,False,2023-06-07 18:09:34.539097
35,24792.470703125,-37.10474653400039,False,2023-06-07 18:09:34.556541
36,24792.470703125,-36.88129348020884,False,2023-06-07 18:09:34.575408
37,24792.470703125,-36.66357095513093,False,2023-06-07 18:09:34.591955
38,24792.470703125,-36.474494243432055,False,2023-06-07 18:09:34.609820
39,24792.470703125,-36.23384960349958,False,2023-06-07 18:09:34.627581
40,24792.470703125,-36.02185760713531,False,2023-06-07 18:09:34.645369
41,24792.470703125,-35.81559272439009,False,2023-06-07 18:09:34.663422
42,24792.470703125,-35.603597312931235,False,2023-06-07 18:09:34.681170
43,24783.31640625,-35.38014425913968,False,2023-06-07 18:09:34.699181
44,24783.31640625,-35.17387937639447,False,2023-06-07 18:09:34.716742
45,24783.31640625,-34.944695793889274,False,2023-06-07 18:09:34.734737
46,24783.31640625,-34.72124274009772,False,2023-06-07 18:09:34.752225
47,24783.31640625,-34.51497785735251,False,2023-06-07 18:09:34.770161
48,24783.31640625,-34.302982445893655,False,2023-06-07 18:09:34.788859
49,24783.31640625,-34.07379886338846,False,2023-06-07 18:09:34.805885
50,24783.31640625,-33.85034580959691,False,2023-06-07 18:09:34.823799
51,24783.31640625,-33.621162227091716,False,2023-06-07 18:09:34.841724
52,24792.470703125,-33.403439702013806,False,2023-06-07 18:09:34.859172
53,24783.31640625,-33.185717176935896,False,2023-06-07 18:09:34.877048
54,24783.31640625,-32.962260708049754,False,2023-06-07 18:09:34.894888
55,24783.31640625,-32.744538182971844,False,2023-06-07 18:09:34.911291
56,24783.31640625,-32.51535460046665,False,2023-06-07 18:09:34.929380
57,24783.31640625,-32.280440489247816,False,2023-06-07 18:09:34.946863
58,24783.31640625,-32.062717964169906,False,2023-06-07 18:09:34.965038
59,24783.31640625,-31.833534381664712,False,2023-06-07 18:09:34.982916
60,24783.31640625,-31.621542385300444,False,2023-06-07 18:09:35.000542
61,24774.16015625,-31.403816445127948,False,2023-06-07 18:09:35.018275
62,24774.16015625,-31.180363391336392,False,2023-06-07 18:09:35.036028
63,24774.16015625,-30.962640866258482,False,2023-06-07 18:09:35.054140
64,24783.31640625,-30.73345728375329,False,2023-06-07 18:09:35.071917
65,24774.16015625,-30.515731343580793,False,2023-06-07 18:09:35.090301
66,24774.16015625,-30.303739347216524,False,2023-06-07 18:09:35.107457
67,24774.16015625,-30.080282878330387,False,2023-06-07 18:09:35.125270
68,24774.16015625,-29.862560353252473,False,2023-06-07 18:09:35.143245
69,24774.16015625,-29.644837828174563,False,2023-06-07 18:09:35.160868
70,24774.16015625,-29.432842416715708,False,2023-06-07 18:09:35.178882
71,24765.005859375,-29.215116476543212,False,2023-06-07 18:09:35.196628
72,24765.005859375,-29.00312448017894,False,2023-06-07 18:09:35.214427
73,24765.005859375,-28.785398540006444,False,2023-06-07 18:09:35.231927
74,24765.005859375,-28.550486136334904,False,2023-06-07 18:09:35.252972
75,24765.005859375,-28.33276361125699,False,2023-06-07 18:09:35.270746
76,24765.005859375,-28.120768199798135,False,2023-06-07 18:09:35.288570
77,24755.849609375,-27.92023384576656,False,2023-06-07 18:09:35.306486
78,24755.849609375,-27.713968963021344,False,2023-06-07 18:09:35.324441
79,24755.849609375,-27.4905142016825,False,2023-06-07 18:09:35.342432
80,24755.849609375,-27.2613323267246,False,2023-06-07 18:09:35.359580
81,24755.849609375,-27.043608094099397,False,2023-06-07 18:09:35.377273
82,24755.79296875,-26.837338088712304,True,2023-06-07 18:09:36.415483
83,24755.849609375,-26.590971457802652,False,2023-06-07 18:09:35.412995
84,24755.849609375,-26.36178787529746,False,2023-06-07 18:09:35.430842
85,24755.849609375,-26.11541612174593,False,2023-06-07 18:09:35.448161
86,24755.849609375,-26.33314035437113,False,2023-06-07 18:09:35.466213
87,24755.849609375,-26.09249742198595,False,2023-06-07 18:09:35.484046
88,24765.005859375,-25.86331554702805,False,2023-06-07 18:09:35.501434
89,24765.005859375,-25.62267261464287,False,2023-06-07 18:09:35.519642
90,24755.849609375,-25.404948382017665,False,2023-06-07 18:09:35.537439
91,24755.849609375,-25.164307157179774,False,2023-06-07 18:09:35.555530
92,24765.130859375,-24.901013609959538,True,2023-06-07 18:09:36.416010
93,24765.005859375,-24.694480642289403,False,2023-06-07 18:09:35.591082
94,24765.005859375,-24.46529705978421,False,2023-06-07 18:09:35.608414
95,24765.005859375,-24.22465583494632,False,2023-06-07 18:09:35.626198
96,24765.005859375,-23.984012902561137,False,2023-06-07 18:09:35.643809
97,24765.005859375,-23.743371677723246,False,2023-06-07 18:09:35.661341
98,24765.005859375,-23.514188095218056,False,2023-06-07 18:09:35.679501
99,24765.005859375,-23.273545162832875,False,2023-06-07 18:09:35.697108
100,24765.005859375,-23.044363287874972,False,2023-06-07 18:09:35.717746
101,24765.005859375,-22.81517970536978,False,2023-06-07 18:09:35.735318
102,24765.005859375,-22.574536772984597,False,2023-06-07 18:09:35.753050
103,24765.005859375,-22.33389554814671,False,2023-06-07 18:09:35.769246
104,24765.005859375,-22.104711965641517,False,2023-06-07 18:09:35.788048
105,24765.005859375,-21.875528383136324,False,2023-06-07 18:09:35.806232
106,24765.005859375,-21.640615979464783,False,2023-06-07 18:09:35.824108
107,24765.005859375,-21.41143239695959,False,2023-06-07 18:09:35.841906
108,24765.005859375,-21.1707911721217,False,2023-06-07 18:09:35.862925
109,24765.005859375,-20.930148239736518,False,2023-06-07 18:09:35.880527
110,24774.16015625,-20.695235836064978,False,2023-06-07 18:09:35.898584
111,24774.16015625,-20.460323432393437,False,2023-06-07 18:09:35.916292
112,24774.16015625,-20.231139849888244,False,2023-06-07 18:09:35.934121
113,24774.16015625,-20.00195626738305,False,2023-06-07 18:09:35.951958
114,24765.005859375,-19.772772684877857,False,2023-06-07 18:09:35.969631
115,24774.16015625,-19.52067211015998,False,2023-06-07 18:09:35.987719
116,24774.16015625,-19.280029177774797,False,2023-06-07 18:09:36.005620
117,24774.16015625,-19.050847302816898,False,2023-06-07 18:09:36.023284
118,24774.16015625,-18.821663720311705,False,2023-06-07 18:09:36.040918
119,24774.16015625,-18.592475015164634,True,2023-06-07 18:09:36.416127
120,24774.16015625,-18.340379563088632,False,2023-06-07 18:09:36.076653
121,24774.16015625,-18.105467159417092,False,2023-06-07 18:09:36.094736
122,24772.849609375,-18.11691114137145,True,2023-06-07 18:09:36.416221
123,24774.16015625,-17.652828815573056,False,2023-06-07 18:09:36.129388
124,24774.16015625,-17.435106290495145,False,2023-06-07 18:09:36.147032
125,24774.16015625,-17.20019217927631,False,2023-06-07 18:09:36.164514
126,24765.005859375,-16.9824696541984,False,2023-06-07 18:09:36.182092
127,24774.16015625,-16.764745421573195,False,2023-06-07 18:09:36.199894
128,24774.16015625,-16.535561839068002,False,2023-06-07 18:09:36.217719
129,24774.16015625,-16.32356813515644,False,2023-06-07 18:09:36.235694
130,24765.005859375,-16.082925202771257,False,2023-06-07 18:09:36.253362
131,24765.005859375,-15.853741620266064,False,2023-06-07 18:09:36.271103
