index,sent_at
0,2023-06-07 18:11:53.088367
1,2023-06-07 18:11:53.115875
2,2023-06-07 18:11:53.134198
3,2023-06-07 18:11:53.155335
4,2023-06-07 18:11:53.192226
5,2023-06-07 18:11:53.219577
6,2023-06-07 18:11:53.244861
7,2023-06-07 18:11:53.267802
8,2023-06-07 18:11:53.322505
9,2023-06-07 18:11:53.369520
10,2023-06-07 18:11:53.425438
11,2023-06-07 18:11:53.453287
12,2023-06-07 18:11:53.471946
13,2023-06-07 18:11:53.490083
14,2023-06-07 18:11:53.507791
15,2023-06-07 18:11:53.525696
16,2023-06-07 18:11:53.543565
17,2023-06-07 18:11:53.561626
18,2023-06-07 18:11:53.579382
19,2023-06-07 18:11:53.597271
20,2023-06-07 18:11:53.615775
21,2023-06-07 18:11:53.633759
22,2023-06-07 18:11:53.651540
23,2023-06-07 18:11:53.669384
24,2023-06-07 18:11:53.687399
25,2023-06-07 18:11:53.707542
26,2023-06-07 18:11:53.725380
27,2023-06-07 18:11:53.743615
28,2023-06-07 18:11:53.761680
29,2023-06-07 18:11:53.779669
30,2023-06-07 18:11:53.798062
31,2023-06-07 18:11:53.816105
32,2023-06-07 18:11:53.834220
33,2023-06-07 18:11:53.851938
34,2023-06-07 18:11:53.869839
35,2023-06-07 18:11:53.887752
36,2023-06-07 18:11:53.905877
37,2023-06-07 18:11:53.923779
38,2023-06-07 18:11:53.941986
39,2023-06-07 18:11:53.959791
40,2023-06-07 18:11:53.977743
41,2023-06-07 18:11:53.995651
42,2023-06-07 18:11:54.013749
43,2023-06-07 18:11:54.031713
44,2023-06-07 18:11:54.049878
45,2023-06-07 18:11:54.067926
46,2023-06-07 18:11:54.085877
47,2023-06-07 18:11:54.103796
48,2023-06-07 18:11:54.122021
49,2023-06-07 18:11:54.140272
50,2023-06-07 18:11:54.159159
51,2023-06-07 18:11:54.178177
52,2023-06-07 18:11:54.228853
53,2023-06-07 18:11:54.282242
54,2023-06-07 18:11:54.300580
55,2023-06-07 18:11:54.318380
56,2023-06-07 18:11:54.336112
57,2023-06-07 18:11:54.354169
58,2023-06-07 18:11:54.372056
59,2023-06-07 18:11:54.390078
60,2023-06-07 18:11:54.408002
61,2023-06-07 18:11:54.425942
62,2023-06-07 18:11:54.443870
63,2023-06-07 18:11:54.462002
64,2023-06-07 18:11:54.479906
65,2023-06-07 18:11:54.498029
66,2023-06-07 18:11:54.516022
67,2023-06-07 18:11:54.533983
68,2023-06-07 18:11:54.551975
69,2023-06-07 18:11:54.569958
70,2023-06-07 18:11:54.587933
71,2023-06-07 18:11:54.605630
72,2023-06-07 18:11:54.623790
73,2023-06-07 18:11:54.641834
74,2023-06-07 18:11:54.660097
75,2023-06-07 18:11:54.678178
76,2023-06-07 18:11:54.696057
77,2023-06-07 18:11:54.714206
78,2023-06-07 18:11:54.732023
79,2023-06-07 18:11:54.750033
80,2023-06-07 18:11:54.768050
81,2023-06-07 18:11:54.786068
82,2023-06-07 18:11:54.804010
83,2023-06-07 18:11:54.822092
84,2023-06-07 18:11:54.840731
85,2023-06-07 18:11:54.858779
86,2023-06-07 18:11:54.876720
87,2023-06-07 18:11:54.894838
88,2023-06-07 18:11:54.912714
89,2023-06-07 18:11:54.930858
90,2023-06-07 18:11:54.952736
91,2023-06-07 18:11:54.970811
92,2023-06-07 18:11:54.988646
93,2023-06-07 18:11:55.006606
94,2023-06-07 18:11:55.024519
95,2023-06-07 18:11:55.042447
96,2023-06-07 18:11:55.060359
97,2023-06-07 18:11:55.078117
98,2023-06-07 18:11:55.095890
99,2023-06-07 18:11:55.114051
100,2023-06-07 18:11:55.131759
101,2023-06-07 18:11:55.149942
102,2023-06-07 18:11:55.168057
103,2023-06-07 18:11:55.186088
104,2023-06-07 18:11:55.204061
105,2023-06-07 18:11:55.221928
106,2023-06-07 18:11:55.240875
107,2023-06-07 18:11:55.258889
108,2023-06-07 18:11:55.276689
109,2023-06-07 18:11:55.294569
110,2023-06-07 18:11:55.312706
111,2023-06-07 18:11:55.330630
112,2023-06-07 18:11:55.348556
113,2023-06-07 18:11:55.366528
114,2023-06-07 18:11:55.384516
115,2023-06-07 18:11:55.402478
116,2023-06-07 18:11:55.420462
117,2023-06-07 18:11:55.438389
118,2023-06-07 18:11:55.456370
119,2023-06-07 18:11:55.474379
120,2023-06-07 18:11:55.492387
121,2023-06-07 18:11:55.513402
122,2023-06-07 18:11:55.531460
123,2023-06-07 18:11:55.549455
124,2023-06-07 18:11:55.567588
125,2023-06-07 18:11:55.585596
126,2023-06-07 18:11:55.603457
127,2023-06-07 18:11:55.621329
128,2023-06-07 18:11:55.640552
129,2023-06-07 18:11:55.658467
130,2023-06-07 18:11:55.676163
131,2023-06-07 18:11:55.693967
132,2023-06-07 18:11:55.711665
133,2023-06-07 18:11:55.729486
134,2023-06-07 18:11:55.747557
135,2023-06-07 18:11:55.769478
136,2023-06-07 18:11:55.787535
137,2023-06-07 18:11:55.805453
138,2023-06-07 18:11:55.823468
139,2023-06-07 18:11:55.841088
140,2023-06-07 18:11:55.858661
141,2023-06-07 18:11:55.876443
142,2023-06-07 18:11:55.897653
143,2023-06-07 18:11:55.915554
144,2023-06-07 18:11:55.933430
145,2023-06-07 18:11:55.951492
146,2023-06-07 18:11:55.969198
147,2023-06-07 18:11:55.987043
148,2023-06-07 18:11:56.004764
149,2023-06-07 18:11:56.023145
150,2023-06-07 18:11:56.040955
151,2023-06-07 18:11:56.059262
152,2023-06-07 18:11:56.077099
153,2023-06-07 18:11:56.095231
154,2023-06-07 18:11:56.113208
155,2023-06-07 18:11:56.131168
156,2023-06-07 18:11:56.149295
157,2023-06-07 18:11:56.169539
158,2023-06-07 18:11:56.187825
159,2023-06-07 18:11:56.205836
160,2023-06-07 18:11:56.223751
161,2023-06-07 18:11:56.241455
162,2023-06-07 18:11:56.259303
163,2023-06-07 18:11:56.277107
164,2023-06-07 18:11:56.294926
165,2023-06-07 18:11:56.312958
166,2023-06-07 18:11:56.330898
167,2023-06-07 18:11:56.348720
168,2023-06-07 18:11:56.370063
169,2023-06-07 18:11:56.387741
170,2023-06-07 18:11:56.405759
171,2023-06-07 18:11:56.423528
172,2023-06-07 18:11:56.441230
173,2023-06-07 18:11:56.459014
174,2023-06-07 18:11:56.476824
175,2023-06-07 18:11:56.494928
176,2023-06-07 18:11:56.512933
177,2023-06-07 18:11:56.531530
178,2023-06-07 18:11:56.549481
179,2023-06-07 18:11:56.567557
180,2023-06-07 18:11:56.585561
181,2023-06-07 18:11:56.603482
182,2023-06-07 18:11:56.621398
183,2023-06-07 18:11:56.639289
184,2023-06-07 18:11:56.657131
185,2023-06-07 18:11:56.674882
186,2023-06-07 18:11:56.692925
187,2023-06-07 18:11:56.710900
188,2023-06-07 18:11:56.728720
189,2023-06-07 18:11:56.746664
190,2023-06-07 18:11:56.764506
191,2023-06-07 18:11:56.782563
192,2023-06-07 18:11:56.800894
193,2023-06-07 18:11:56.819018
194,2023-06-07 18:11:56.836989
195,2023-06-07 18:11:56.855314
196,2023-06-07 18:11:56.873370
197,2023-06-07 18:11:56.891334
198,2023-06-07 18:11:56.909269
199,2023-06-07 18:11:56.927255
200,2023-06-07 18:11:56.945279
201,2023-06-07 18:11:56.963239
202,2023-06-07 18:11:56.981125
203,2023-06-07 18:11:56.999259
204,2023-06-07 18:11:57.017236
205,2023-06-07 18:11:57.035423
206,2023-06-07 18:11:57.053384
207,2023-06-07 18:11:57.071563
208,2023-06-07 18:11:57.089733
209,2023-06-07 18:11:57.107534
210,2023-06-07 18:11:57.125363
211,2023-06-07 18:11:57.143163
212,2023-06-07 18:11:57.162637
213,2023-06-07 18:11:57.180591
214,2023-06-07 18:11:57.198632
215,2023-06-07 18:11:57.216399
216,2023-06-07 18:11:57.234236
217,2023-06-07 18:11:57.252181
218,2023-06-07 18:11:57.270121
219,2023-06-07 18:11:57.288213
220,2023-06-07 18:11:57.306323
221,2023-06-07 18:11:57.324279
222,2023-06-07 18:11:57.342101
223,2023-06-07 18:11:57.360313
224,2023-06-07 18:11:57.378223
225,2023-06-07 18:11:57.396187
226,2023-06-07 18:11:57.414119
227,2023-06-07 18:11:57.431979
228,2023-06-07 18:11:57.450072
229,2023-06-07 18:11:57.467947
